[2023-04-14 05:51:59,303] Attacker IP: 192.168.56.104 |  Command: FEAT | Input: 
[2023-04-14 05:51:59,303] Attacker IP: 192.168.56.104 |  Command: FEAT | Input: 
[2023-04-14 05:54:41,157] Attacker IP: 192.168.56.104 |  Command: MKD | Input: test
[2023-04-14 05:54:41,157] Attacker IP: 192.168.56.104 |  Command: MKD | Input: test
[2023-04-14 05:54:41,157] Attacker IP: 192.168.56.104 |  Command: MKD | Input: test
[2023-04-14 05:54:41,157] Attacker IP: 192.168.56.104 |  Command: MKD | Input: test
[2023-04-14 05:54:41,157] Attacker IP: 192.168.56.104 |  Command: MKD | Input: test
[2023-04-14 05:56:15,661] Attacker IP: 192.168.56.104 |  Command: EPSV | Input: 
[2023-04-14 05:56:15,661] Attacker IP: 192.168.56.104 |  Command: EPSV | Input: 
[2023-04-14 05:56:15,661] Attacker IP: 192.168.56.104 |  Command: EPSV | Input: 
[2023-04-14 05:56:15,661] Attacker IP: 192.168.56.104 |  Command: EPSV | Input: 
[2023-04-14 05:56:15,661] Attacker IP: 192.168.56.104 |  Command: EPSV | Input: 
[2023-04-14 05:56:15,661] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 05:56:15,661] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 05:56:15,661] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 05:56:15,661] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 05:56:15,661] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 05:56:15,662] Attacker IP: 192.168.56.104 |  Command: LIST | Input: 
[2023-04-14 05:56:15,662] Attacker IP: 192.168.56.104 |  Command: LIST | Input: 
[2023-04-14 05:56:15,662] Attacker IP: 192.168.56.104 |  Command: LIST | Input: 
[2023-04-14 05:56:15,662] Attacker IP: 192.168.56.104 |  Command: LIST | Input: 
[2023-04-14 05:56:15,662] Attacker IP: 192.168.56.104 |  Command: LIST | Input: 
[2023-04-14 06:01:19,959] Attacker IP: 192.168.56.104 |  Command: RMD | Input: test
[2023-04-14 06:01:19,959] Attacker IP: 192.168.56.104 |  Command: RMD | Input: test
[2023-04-14 06:01:19,959] Attacker IP: 192.168.56.104 |  Command: RMD | Input: test
[2023-04-14 06:01:19,959] Attacker IP: 192.168.56.104 |  Command: RMD | Input: test
[2023-04-14 06:01:19,959] Attacker IP: 192.168.56.104 |  Command: RMD | Input: test
[2023-04-14 06:01:22,921] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 06:01:22,921] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 06:01:22,921] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 06:01:22,921] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 06:01:22,921] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 06:01:22,921] Attacker IP: 192.168.56.104 |  Command: LIST | Input: 
[2023-04-14 06:01:22,921] Attacker IP: 192.168.56.104 |  Command: LIST | Input: 
[2023-04-14 06:01:22,921] Attacker IP: 192.168.56.104 |  Command: LIST | Input: 
[2023-04-14 06:01:22,921] Attacker IP: 192.168.56.104 |  Command: LIST | Input: 
[2023-04-14 06:01:22,921] Attacker IP: 192.168.56.104 |  Command: LIST | Input: 
[2023-04-14 07:11:22,455] Attacker IP: 192.168.56.104 |  Command: QUIT | Input: 
[2023-04-14 07:11:22,455] Attacker IP: 192.168.56.104 |  Command: QUIT | Input: 
[2023-04-14 07:11:22,455] Attacker IP: 192.168.56.104 |  Command: QUIT | Input: 
[2023-04-14 07:11:22,455] Attacker IP: 192.168.56.104 |  Command: QUIT | Input: 
[2023-04-14 07:11:22,455] Attacker IP: 192.168.56.104 |  Command: QUIT | Input: 
[2023-04-14 07:14:16,430] Attacker IP: 192.168.56.104 |  Command: USER | Input: admin
[2023-04-14 07:14:16,430] Attacker IP: 192.168.56.104 |  Command: USER | Input: admin
[2023-04-14 07:14:16,430] Attacker IP: 192.168.56.104 |  Command: USER | Input: admin
[2023-04-14 07:14:16,430] Attacker IP: 192.168.56.104 |  Command: USER | Input: admin
[2023-04-14 07:14:16,430] Attacker IP: 192.168.56.104 |  Command: USER | Input: admin
[2023-04-14 07:14:16,430] Attacker IP: 192.168.56.104 |  Command: USER | Input: admin
[2023-04-14 07:14:17,123] Attacker IP: 192.168.56.104 |  Command: PASS | Input: admin
[2023-04-14 07:14:17,123] Attacker IP: 192.168.56.104 |  Command: PASS | Input: admin
[2023-04-14 07:14:17,123] Attacker IP: 192.168.56.104 |  Command: PASS | Input: admin
[2023-04-14 07:14:17,123] Attacker IP: 192.168.56.104 |  Command: PASS | Input: admin
[2023-04-14 07:14:17,123] Attacker IP: 192.168.56.104 |  Command: PASS | Input: admin
[2023-04-14 07:14:17,123] Attacker IP: 192.168.56.104 |  Command: PASS | Input: admin
[2023-04-14 07:14:17,123] Attacker IP: 192.168.56.104 |  Command: SYST | Input: 
[2023-04-14 07:14:17,123] Attacker IP: 192.168.56.104 |  Command: SYST | Input: 
[2023-04-14 07:14:17,123] Attacker IP: 192.168.56.104 |  Command: SYST | Input: 
[2023-04-14 07:14:17,123] Attacker IP: 192.168.56.104 |  Command: SYST | Input: 
[2023-04-14 07:14:17,123] Attacker IP: 192.168.56.104 |  Command: SYST | Input: 
[2023-04-14 07:14:17,123] Attacker IP: 192.168.56.104 |  Command: SYST | Input: 
[2023-04-14 07:14:17,124] Attacker IP: 192.168.56.104 |  Command: FEAT | Input: 
[2023-04-14 07:14:17,124] Attacker IP: 192.168.56.104 |  Command: FEAT | Input: 
[2023-04-14 07:14:17,124] Attacker IP: 192.168.56.104 |  Command: FEAT | Input: 
[2023-04-14 07:14:17,124] Attacker IP: 192.168.56.104 |  Command: FEAT | Input: 
[2023-04-14 07:14:17,124] Attacker IP: 192.168.56.104 |  Command: FEAT | Input: 
[2023-04-14 07:14:17,124] Attacker IP: 192.168.56.104 |  Command: FEAT | Input: 
[2023-04-14 07:20:11,280] Attacker IP: 192.168.56.104 |  Command: CWD | Input: /../
[2023-04-14 07:20:11,280] Attacker IP: 192.168.56.104 |  Command: CWD | Input: /../
[2023-04-14 07:20:11,280] Attacker IP: 192.168.56.104 |  Command: CWD | Input: /../
[2023-04-14 07:20:11,280] Attacker IP: 192.168.56.104 |  Command: CWD | Input: /../
[2023-04-14 07:20:11,280] Attacker IP: 192.168.56.104 |  Command: CWD | Input: /../
[2023-04-14 07:20:11,280] Attacker IP: 192.168.56.104 |  Command: CWD | Input: /../
[2023-04-14 07:20:12,852] Attacker IP: 192.168.56.104 |  Command: EPSV | Input: 
[2023-04-14 07:20:12,852] Attacker IP: 192.168.56.104 |  Command: EPSV | Input: 
[2023-04-14 07:20:12,852] Attacker IP: 192.168.56.104 |  Command: EPSV | Input: 
[2023-04-14 07:20:12,852] Attacker IP: 192.168.56.104 |  Command: EPSV | Input: 
[2023-04-14 07:20:12,852] Attacker IP: 192.168.56.104 |  Command: EPSV | Input: 
[2023-04-14 07:20:12,852] Attacker IP: 192.168.56.104 |  Command: EPSV | Input: 
[2023-04-14 07:20:12,852] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 07:20:12,852] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 07:20:12,852] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 07:20:12,852] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 07:20:12,852] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 07:20:12,852] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 07:20:12,853] Attacker IP: 192.168.56.104 |  Command: LIST | Input: 
[2023-04-14 07:20:12,853] Attacker IP: 192.168.56.104 |  Command: LIST | Input: 
